eps,dataset,expertType,model,f1,precision,recall,llmName
0.3,Criminal,llm,Bayesian Network,0.8971830527307618,0.8660617377202796,0.9306243805748265,Qwen
0.4,Criminal,llm,Bayesian Network,0.8909972897318283,0.858205939663631,0.9263940520446097,Qwen
0.5,Criminal,llm,Bayesian Network,0.8933722287005006,0.861219331712767,0.9280190362879238,Qwen
0.6,Criminal,llm,Bayesian Network,0.8960700076971929,0.8646464869811701,0.9298636926889715,Qwen
0.7,Criminal,llm,Bayesian Network,0.8970283517809847,0.8665931205303854,0.9296792011897175,Qwen
0.8,Criminal,llm,Bayesian Network,0.8958887236201634,0.8644160528461463,0.9297397769516729,Qwen
0.9,Criminal,llm,Bayesian Network,0.8941297416970304,0.8675908719307858,0.9268010575016523,Qwen
0.2,Victim,human,Bayesian Network,0.7605003798863551,0.6990753492032264,0.8337595907928389,None
0.3,Victim,human,Bayesian Network,0.8359827125686303,0.823286951955894,0.8873720136518771,None
0.4,Victim,human,Bayesian Network,0.7940674349125053,0.7381471930172585,0.8591549295774648,None
0.5,Victim,human,Bayesian Network,0.7976589496287341,0.7424929874361731,0.8616803278688525,None
0.6,Victim,human,Bayesian Network,0.790705589088664,0.7349030132975479,0.8556789069171649,None
0.7,Victim,human,Bayesian Network,0.8011860850507814,0.7529492276808848,0.8609077598828697,None
0.8,Victim,human,Bayesian Network,0.8137904961759567,0.7673634815630347,0.8699551569506726,None
0.9,Victim,human,Bayesian Network,0.8020627345516543,0.759890780413409,0.8621867881548975,None
0.1,Victim,llm,Bayesian Network,0.866868905070258,0.8752623389781444,0.8928571428571429,Qwen
0.2,Victim,llm,Bayesian Network,0.8568232127774258,0.8639547475864611,0.8797953964194374,Qwen
0.3,Victim,llm,Bayesian Network,0.8525283553039712,0.8510851516843045,0.8771331058020477,Qwen
0.4,Victim,llm,Bayesian Network,0.826601950514289,0.8297601365770381,0.8617157490396927,Qwen
0.5,Victim,llm,Bayesian Network,0.8389792007791887,0.8349660125430599,0.8688524590163934,Qwen
0.6,Victim,llm,Bayesian Network,0.8487261001753393,0.8556763399396926,0.8753202391118702,Qwen
0.7,Victim,llm,Bayesian Network,0.8423650465832035,0.8465469050717858,0.8711566617862372,Qwen
0.8,Victim,llm,Bayesian Network,0.8372608752832398,0.8525266595748472,0.8571428571428571,Qwen
0.9,Victim,llm,Bayesian Network,0.8186968897416778,0.845469860801064,0.8388382687927107,Qwen
0.1,Criminal,human,Bayesian Network,0.8878220610761471,0.8541824436059515,0.924219910846954,None
0.2,Criminal,human,Bayesian Network,0.8931704890346757,0.86096322604718,0.9278810408921933,None
0.3,Criminal,human,Bayesian Network,0.9008106736881524,0.8706794940677608,0.9331020812685827,None
0.4,Criminal,human,Bayesian Network,0.9060375545358944,0.8782087763344008,0.9356877323420074,None
0.5,Criminal,human,Bayesian Network,0.8933722287005006,0.861219331712767,0.9280190362879238,None
0.6,Criminal,human,Bayesian Network,0.8986088812955919,0.8678757894445903,0.9315985130111524,None
0.7,Criminal,human,Bayesian Network,0.8923671293043641,0.8606663612563257,0.9264924580412152,None
0.8,Criminal,human,Bayesian Network,0.8944298120193249,0.8629850139405204,0.9282527881040892,None
